actor_id,actor_name
1,Tom Holland
2,Zendaya
3,Ryan Gosling
4,Rachel McAdams
5,Mark Hamill
6,Harrison Ford
7,Carrie Fisher
8,Kate Capshaw
9,Jonathan Ke Quan
10,Al Pacino
11,Marlon Brando
12,Christian Bale
13,Heath Ledger
14,Gary Oldman
15,Liam Neeson
16,Maggie Grace
17,John Travolta
18,Samuel L. Jackson
19,Uma Thurman
20,Olivia Newton-John
21,Stockard Channing
22,Vince Vaughn
23,Anne Heche
24,Julianna Moore
25,Viggo Mortensen
26,Rutger Hauer
27,Sean Young
28,Daryl Hannah
29,Edward James Olmos
30,Marilyn Burns
31,Gunnar Hansen
32,Edwin Neal
33,Paul A. Partain
